,price log,bedrooms,bathrooms,sqft_log,condition,date_new,years since built
0,5.346157302232008,3,1.0,3.0718820073061255,3,0.4166666666665151,59.83333333333326
1,5.730782275666389,3,2.25,3.4099331233312946,3,0.5833333333332575,64.0
2,5.2552725051033065,2,1.0,2.886490725172482,3,0.75,82.16666666666674
3,5.781036938621132,4,3.0,3.292256071356476,5,0.5833333333332575,50.0
4,5.707570176097937,3,2.0,3.225309281725863,3,0.75,28.166666666666742
5,6.088136088700551,4,4.5,3.733999286538387,3,0.0,13.416666666666742
6,5.4107772333772095,3,2.25,3.2342641243787895,3,0.08333333333325754,19.5
7,5.465159697646179,3,1.5,3.0253058652647704,3,0.6666666666665151,52.08333333333326
8,5.36078268987328,3,1.0,3.250420002308894,3,0.9166666666665151,55.33333333333326
9,5.509202522331103,3,2.5,3.2764618041732443,3,0.8333333333332575,12.25
10,5.821185882608845,3,2.5,3.5514499979728753,3,0.9166666666665151,50.33333333333326
11,5.670245853074124,2,1.0,3.0644579892269186,4,0.0,72.41666666666674
12,5.491361693834273,3,1.0,3.155336037465062,4,0.0,87.41666666666674
13,5.6020599913279625,3,1.75,3.1367205671564067,4,0.4166666666665151,37.83333333333326
14,5.724275869600789,5,2.0,3.2576785748691846,3,0.8333333333332575,115.25
15,5.812913356642856,4,3.0,3.469822015978163,3,0.6666666666665151,36.08333333333326
16,5.596597095626461,3,2.0,3.2764618041732443,3,0.16666666666651508,20.583333333333258
17,5.685741738602264,4,1.0,3.2041199826559246,4,0.0,98.41666666666674
18,5.276461804173244,2,1.0,3.0791812460476247,4,0.5833333333332575,94.0
19,5.361727836017593,3,1.0,3.0969100130080562,4,0.9166666666665151,46.33333333333326
20,5.585460729508501,4,1.75,3.2095150145426308,4,0.0,67.41666666666674
21,6.301029995663981,3,2.75,3.484299839346786,3,0.25,46.66666666666674
22,5.45484486000851,5,2.5,3.3560258571931225,3,0.16666666666651508,19.583333333333258
23,5.402605241919915,2,1.5,3.0293837776852097,3,0.0,29.416666666666742
24,5.517195897949974,3,2.25,3.3891660843645326,4,0.5,29.916666666666742
25,5.367355921026019,3,2.0,3.2329961103921536,5,0.5,73.91666666666674
26,5.971739590887778,3,1.75,3.3891660843645326,3,0.08333333333325754,99.5
27,5.824125833916549,3,1.0,3.146128035678238,5,0.5833333333332575,106.0
28,5.6414741105041,3,1.75,3.1818435879447726,3,0.08333333333325754,66.5
29,5.8567288903828825,4,2.5,3.4099331233312946,3,0.8333333333332575,10.25
30,5.763802224074593,3,2.5,3.3654879848909,3,0.5,11.916666666666742
31,5.447158031342219,2,1.5,3.0755469613925306,3,0.5833333333332575,10.0
32,5.8372727025023,4,1.75,3.367355921026019,4,0.08333333333325754,85.5
33,5.7283537820212285,3,1.0,3.037426497940624,4,0.5,85.91666666666674
34,5.508529718971286,4,2.75,3.3138672203691533,3,0.5833333333332575,34.0
35,5.842609239610562,3,2.5,3.361727836017593,3,0.08333333333325754,84.5
36,5.740362689494244,4,1.0,3.220108088040055,1,0.0,81.41666666666674
